,author_name,book_title,category,publish_date
118,Koushun Takami,Battle Royale,1,1999
119,Marissa Meyer,Cinder,1,0
120,H.G. Wells,The Time Machine,1,1895
121,Hugh Howey,Wool Omnibus,1,2012
122,Max Brooks,World War Z: An Oral History of the Zombie War,1,2006
123,Margaret Atwood,Oryx and Crake,1,2003
124,Kazuo Ishiguro,Never Let Me Go,1,2005
125,Alyson Noel,Evermore,1,2009
126,Stephenie Meyer,The Twilight Collection,1,2007
127,Cornelia Funke,Dragon Rider,1,1997
128,J.K. Rowling,Harry Potter Series Box Set,1,2007
129,Daphne du Maurier,Rebecca,1,1938
130,Janet Evanovich,Finger Lickin` Fifteen,1,2009
131,James Patterson,School`s Out—Forever,1,2006
132,Melissa de la Cruz,The Van Alen Legacy,1,2009
133,Jane Austen,The Complete Novels,1,1813
134,Jodi Picoult,Handle with Care,1,2009
135,Kate Jacobs,The Friday Night Knitting Club,1,2006
136,Louisa May Alcott,Little Women,1,1868
137,Augusten Burroughs,Running with Scissors,1,2002
138,Tatiana de Rosnay,Sarah`s Key,1,2006
139,Betty  Smith,A Tree Grows in Brooklyn,1,1943
140,Sylvia Plath,The Bell Jar,1,1963
141,Douglas Adams,The Ultimate Hitchhiker`s Guide to the Galaxy,1,1996
142,Amy Tan,The Joy Luck Club,1,1989
143,Bernhard Schlink,The Reader,1,1995
144,Melissa Marr,Wicked Lovely,1,2007
145,Christopher Paolini,Eldest,1,2005
146,Cormac McCarthy,The Road,1,2006
147,Jerry Spinelli,Stargirl,1,2000
148,Mitch Albom,Tuesdays with Morrie,1,1997
149,J.R.R. Tolkien,The Return of the King,1,1955
150,Dan Brown,The Lost Symbol,1,2009
151,P.C. Cast,Marked,1,2007
152,Richelle Mead,Blood Promise,1,2009
153,Greg Mortenson,Three Cups of Tea: One Man`s Mission to Promote Peace ... One School at a Time,1,2006
154,Ken Follett,The Pillars of the Earth,1,1989
155,Philippa Gregory,The Other Boleyn Girl,1,2001
156,Seth Grahame-Smith,Pride and Prejudice and Zombies,1,2009
157,Kim Edwards,The Memory Keeper`s Daughter,1,2005
158,Scott Westerfeld,Pretties,1,2005
159,Jennifer Ashley,The Madness of Lord Ian Mackenzie,1,2009
160,Nalini Singh,Slave to Sensation,1,2006
161,Gena Showalter,The Darkest Night,1,2008
162,Katie McGarry,Pushing the Limits,1,2012
163,Susan Elizabeth Phillips,This Heart of Mine,1,2001
164,Helen Fielding,Bridget Jones`s Diary,1,1995
165,Julie James,Practice Makes Perfect,1,2009
166,J. Lynn,Wait for You,1,2013
167,Jaci Burton,The Perfect Play,1,2011
168,J.R. Ward,Lover Eternal,1,2005
169,Elizabeth Reyes,Forever Mine,1,2010
170,Kristen Ashley,Rock Chick,1,2008
171,Abbi Glines,Fallen Too Far,1,2012
172,R.L. Mathewson,Playing for Keeps,1,2011
173,Alice Clayton,Wallbanger,1,2012
174,Jennifer Crusie,Bet Me,1,2004
175,Sophie Kinsella,Can You Keep a Secret?,1,2001
176,J.D. Robb,Naked in Death,1,1995
177,Tahereh Mafi,Shatter Me,1,2011
178,Julie Garwood,The Bride,1,1989
179,Jenny Han,The Summer I Turned Pretty,1,2009
180,Shelly Crane,Significance,1,0
181,Judith McNaught,A Kingdom of Dreams,1,1989
182,Ally Condie,Matched,1,2010
183,Jessica Park,Flat-Out Love,1,2011
184,Rebecca Donovan,Reason to Breathe,1,2011
185,Paullina Simons,The Bronze Horseman,1,2001
186,Arthur Golden,Memoirs of a Geisha,1,1997
187,Colleen Hoover,Hopeless,1,2012
188,Tracey Garvis Graves,On the Island,1,2011
189,Nicholas Sparks,A Walk to Remember,1,1999
190,Becca Fitzpatrick,"Hush, Hush",1,2009
191,Margaret Mitchell,Gone with the Wind,1,1936
192,Sylvain Reynard,Gabriel`s Inferno,1,2011
193,Tammara Webber,Easy,1,2012
194,Sylvia Day,Bared to You,1,2012
195,E.L. James,Fifty Shades of Grey,1,2011
196,Margaret Stohl,Icons,1,2013
197,Michelle K. Pickett,PODs,1,2013
198,Kristin Halbrook,Nobody But Us,1,2013
199,Ellen Oh,Prophecy,1,2013
200,Jessica Brody,Unremembered,1,2013
201,Jennifer Anne Davis,The Voice,1,2013
202,April Genevieve Tucholke,Between the Devil and the Deep Blue Sea,1,2013
203,Claudia Gray,Spellcaster,1,2013
204,Lisa McMann,Crash,1,2013
205,Kiersten White,The Chaos of Stars,1,2013
206,Andrea Cremer,Invisibility,1,2013
207,Brigid Kemmerer,Spirit,1,2013
208,Kami Garcia,Unbreakable,1,2013
209,Mindy McGinnis,Not a Drop to Drink,1,2013
210,Jessica Spotswood,Star Cursed,1,2013
211,Tara Hudson,Elegy,1,2013
212,Jennifer Rush,Altered,1,2013
213,Jennifer A. Nielsen,The Runaway King,1,2013
214,Victoria Scott,The Collector,1,2013
215,Brenna Yovanoff,Paper Valentine,1,2013
216,Elsie Chapman,Dualed,1,2013
217,Kasie West,Pivot Point,1,2013
218,Kristen Simmons,Breaking Point,1,2013
219,Jennifer E. Smith,This Is What Happy Looks Like,1,2013
220,Rachel Hawkins,School Spirits,1,2013
221,Maureen Johnson,The Madness Underneath,1,2013
222,Elizabeth Norris,Unbreakable,1,2013
223,K.C. Hilton,My Name Is Rapunzel,1,2013
224,Kendare Blake,Antigoddess,1,2013
225,Holly Black,The Coldest Girl in Coldtown,1,2013
226,Amie Kaufman,These Broken Stars,1,2013
227,Anna Banks,Of Triton,1,2013
228,Meg Cabot,Awaken,1,2013
229,Jennifer L. Armentrout,Sentinel,1,2013
230,Erin Bowman,Taken,1,2013
231,Debra Driza,MILA 2.0,1,2013
232,Rick Yancey,The 5th Wave,1,2013
233,Rae Carson,The Bitter Kingdom,1,2013
234,Megan Shepherd,The Madman’s Daughter,1,2013
235,Shannon Messenger,Let the Sky Fall,1,2013
236,Rachel Vincent,With All My Soul,1,2013
237,Victoria Schwab,The Archived,1,2013
238,Marie Lu,Champion,1,2013
239,Gail Carriger,Etiquette & Espionage,1,2013
240,Courtney Allison Moulton,Shadows in the Silence,1,2013
241,Robin LaFevers,Dark Triumph,1,2013
242,Sarah Dessen,The Moon and More,1,2013
243,Kimberly Derting,The Essence,1,2013
244,Wendy Higgins,Sweet Peril,1,2013
245,Suzanne Young,The Program,1,2013
246,Jodi Meadows,Asunder,1,2013
247,A.G. Howard,Splintered,1,2013
248,Aimee Carter,The Goddess Inheritance,1,2013
249,Gayle Forman,Just One Day,1,2013
250,Ally Carter,United We Spy,1,2013
251,Cassandra Clare,Shadowhunters and Downworlders: A Mortal Instruments Reader,1,2013
252,Brodi Ashton,Everbound,1,2013
253,Amy Plum,If I Should Die,1,2013
254,Leigh Bardugo,Siege and Storm,1,2013
255,Kelley Armstrong,The Rising,1,2013
256,Sarah J. Maas,Crown of Midnight,1,2013
257,Josephine Angelini,Goddess,1,2013
258,Michael  Grant,Light,1,2013
259,Lauren Oliver,Requiem,1,2013
260,Lauren DeStefano,Sever,1,2013
261,Veronica Rossi,Through the Ever Night,1,2013
262,Cynthia Hand,Boundless,1,2013
263,Veronica Roth,Allegiant,1,2013
264,Alethea Kontis,Dearest,1,2015
265,Kim Liggett,Blood and Salt,1,2015
266,Julie   Murphy,Dumplin`,1,2015
267,Courtney Alameda,Shutter,1,2015
268,I.W. Gregorio,None of the Above,1,2015
269,Lori  Goldstein,Becoming Jinn,1,2015
270,Stacey  Lee,Under a Painted Sky,1,2015
271,Elizabeth May,The Vanishing Throne,1,2015
272,Morgan Rhodes,A Book of Spirits and Thieves,1,2015
273,Betsy Cornwell,Mechanica,1,2015
274,Sarah Ockler,The Summer of Chasing Mermaids,1,2015
275,Catherine Doyle,Vendetta,1,2015
276,Jessi Kirby,Things We Know by Heart,1,2015
277,Sharon Cameron,Rook,1,2015
278,Colleen Houck,Reawakened,1,2015
279,Becky  Wallace,The Storyspinner,1,2015
280,Sherry Thomas,The Immortal Heights,1,2015
281,Nova Ren Suma,The Walls Around Us,1,2015
282,Rhiannon Thomas,A Wicked Thing,1,2015
283,Carrie Ryan,Daughter of Deep Silence,1,2015
284,Emery Lord,The Start of Me and You,1,2015
285,Rachel Caine,Ink and Bone,1,2015
286,David Levithan,Another Day,1,2015
287,Francesca Zappia,Made You Up,1,2015
288,Danielle L. Jensen,Hidden Huntress,1,2015
289,Andrew  Smith,Stand-Off,1,2015
290,Heather Demetrios,I`ll Meet You There,1,2015
291,Patrick Ness,The Rest of Us Just Live Here,1,2015
292,Virginia Boecker,The Witch Hunter,1,2015
293,Maggie  Hall,The Conspiracy of Us,1,2015
294,Sara B. Larson,Ignite,1,2014
295,Kresley Cole,Dead of Winter,1,2015
296,Courtney Summers,All the Rage,1,2015
297,Maria Dahvana Headley,Magonia,1,2015
298,Melinda Salisbury,The Sin Eater’s Daughter,1,2015
299,Amanda Hocking,Frostfire,1,2015
300,Libba Bray,Lair of Dreams,1,2015
301,Melissa Grey,The Girl at Midnight,1,2015
302,Paula Stokes,"Liars, Inc.",1,2015
303,Melissa Landers,Invaded,1,2015
304,Jasmine Warga,My Heart and Other Black Holes,1,2015
305,Rachel Hartman,Shadow Scale,1,2015
306,Sara Raasch,Ice Like Fire,1,2015
307,Jennifer Niven,All the Bright Places,1,2015
308,Renée Ahdieh,The Wrath and the Dawn,1,2015
309,Rainbow Rowell,Carry On,1,2015
310,Marie Rutkoski,The Winner`s Crime,1,2015
311,Victoria Aveyard,Red Queen,1,2015
312,Sidney Halston,Seeing Red,1,2013
313,Christina Mercer,Honey Queen,1,2014
314,Gillian Flynn,Gone Girl,1,2012
315,Michelle Zink,Prophecy of the Sisters,1,2009
316,Mira Grant,Feed,1,2010
317,S.S. Segran,Aegis Rising,1,2013
318,J.S. Burke,Dragon Lightning,1,2016
319,James Fahy,Hell`s Teeth,1,2016
320,Kristin Cashore,Bitterblue,1,2012
321,Carolyn Crane,Mind Games,1,2010
322,Ilona Andrews,On the Edge,1,2009
323,Stacia Kane,Unholy Ghosts,1,2010
324,C.S. Lewis,The Magician`s Nephew,1,1955
325,Jacqueline Carey,Kushiel`s Dart,1,2001
326,Bree Despain,The Dark Divine,1,2009
327,Justina Chen,North of Beautiful,1,2009
328,Caragh M. O`Brien,Birthmarked,1,2010
329,William  O`Brien,Peter: A Darkened Fairytale,1,2011
330,Michelle Hodkin,The Unbecoming of Mara Dyer,1,2011
331,Catherine Fisher,Incarceron,1,2007
332,Lucy Christopher,Stolen: A Letter to My Captor,1,2009
333,Mya Robarts,The V Girl,1,2015
334,Lili St. Crow,Strange Angels,1,2009
335,Sophie Jordan,Firelight,1,2010
336,Shannon Hale,Princess Academy,1,2005
337,Stephanie Perkins,Anna and the French Kiss,1,2010
338,Jamie McGuire,Beautiful Disaster,1,2011
339,Gail Carson Levine,Ella Enchanted,1,1997
340,Maggie Stiefvater,Shiver,1,2009
341,Pittacus Lore,I Am Number Four,1,2010
342,Jeaniene Frost,This Side of the Grave,1,2011
343,Tim Powers,The Stress of Her Regard,1,1989
344,Theodore Sturgeon,Some of Your Blood,1,1961
345,Tanya Huff,Smoke and Shadows,1,2004
346,Michelle Rowen,Bitten & Smitten,1,2006
347,Ray Garton,Live Girls,1,1987
348,Laurell K. Hamilton,Circus of the Damned,1,1995
349,Fred Saberhagen,The Dracula Tape,1,1975
350,C.S. Friedman,Black Sun Rising,1,1991
351,Gerry Bartlett,Real Vampires Have Curves,1,2007
352,Richard Matheson,I Am Legend,1,1954
353,Tanith Lee,Dark Dance,1,1992
354,Rebecca Zanetti,Fated,1,2011
355,Joey W. Hill,The Vampire Queen`s Servant,1,2007
356,John Skipp,The Light at the End,1,1986
357,Sherrilyn Kenyon,Night Pleasures,1,2002
358,Blake Crouch,Draculas,1,2010
359,L.A. Banks,Minion,1,2003
360,Hideyuki Kikuchi,Vampire Hunter D,1,1983
361,Elizabeth   Hunter,A Hidden Fire,1,2011
362,Suzy McKee Charnas,The Vampire Tapestry,1,1980
363,Nora Roberts,Morrigan`s Cross,1,2006
364,Faith Hunter,Skinwalker,1,2009
365,Richard Laymon,The Traveling Vampire Show,1,2000
366,David Wellington,13 Bullets,1,2007
367,Chelsea Quinn Yarbro,Hôtel Transylvania,1,1978
368,Jocelynn Drake,Nightwalker,1,2008
369,John Steakley,Vampire$,1,1990
370,Dan Simmons,Children of the Night,1,1992
371,Barbara Hambly,Those Who Hunt the Night,1,1988
372,Nancy A. Collins,Sunglasses After Dark,1,1989
373,Lynn Viehl,If Angels Burn,1,2005
374,Barb Hendee,Dhampir,1,2003
375,D.B. Reynolds,Raphael,1,2009
376,Jennifer Rardin,"Once Bitten, Twice Shy",1,2007
377,Justin Cronin,The Passage,1,2010
378,Jeanne Kalogridis,Covenant with the Vampire,1,1994
379,F. Paul Wilson,The Keep,1,1981
380,Charlie Huston,Already Dead,1,2005
381,Whitley Strieber,The Hunger,1,1980
382,Karen Chance,Midnight`s Daughter,1,2008
383,Molly Harper,Nice Girls Don`t Have Fangs,1,2009
384,Keri Arthur,Full Moon Rising,1,2006
385,Kerrelyn Sparks,How to Marry a Millionaire Vampire,1,2005
386,Kim Newman,Anno Dracula,1,1992
387,Terry Pratchett,Carpe Jugulum,1,1998
388,Lynsay Sands,A Quick Bite,1,2005
389,Sergei Lukyanenko,Night Watch,1,1998
390,Anne Rice,Pandora,1,1998
391,Brian Lumley,Necroscope,1,1986
392,George R.R. Martin,Fevre Dream,1,1982
393,Christopher Moore,Bloodsucking Fiends,1,1995
394,Chloe Neill,Some Girls Bite,1,2009
395,MaryJanice Davidson,Undead and Unwed,1,2004
396,Guillermo del Toro,The Strain,1,2009
397,Karen Marie Moning,Darkfever,1,2006
398,Poppy Z. Brite,Lost Souls,1,1992
399,Deborah Harkness,A Discovery of Witches,1,0
400,Kim Harrison,Dead Witch Walking,1,2004
401,Lara Adrian,Kiss of Midnight,1,2007
402,Patricia Briggs,Moon Called,1,2006
403,J. Sheridan Le Fanu,Carmilla,1,1872
404,Robin McKinley,Sunshine,1,2003
405,Charlaine Harris,Dead Until Dark,1,2001
406,John Ajvide Lindqvist,Let the Right One In,1,2004
407,Bram Stoker,Dracula,1,1897
408,Kathi Appelt,The Underneath,1,2008
409,Laurie Halse Anderson,Chains,1,2008
410,Louise Erdrich,The Plague of Doves,1,2008
411,Kristin Hannah,Firefly Lane,1,2008
412,Nicholson Baker,"Human Smoke: The Beginnings of World War II, the End of Civilization",1,2008
413,Naomi Novik,Victory of Eagles,1,2008
414,Daniel Waters,Generation Dead,1,2008
415,Kate Atkinson,When Will There Be Good News?,1,2008
416,Kelly Corrigan,The Middle Place,1,2005
417,Chris Bohjalian,Skeletons at the Feast,1,2008
418,Steve Toltz,A Fraction of the Whole,1,2008
419,Jennifer Storm,Blackout Girl: Growing Up and Drying Out in America,1,2008
420,Jen Lancaster,"Such a Pretty Fat: One Narcissist`s Quest to Discover If Her Life Makes Her Ass Look Big, or Why Pie Is Not the Answer",1,2008
421,Lily Koppel,The Red Leather Diary: Reclaiming a Life Through the Pages of a Lost Journal,1,2008
422,Jeffery Deaver,The Broken Window,1,2008
423,Lauren Weisberger,Chasing Harry Winston,1,2008
424,Roberto Bolaño,2666,1,2004
425,Alison Weir,The Lady Elizabeth,1,2008
426,Sloane Crosley,I Was Told There`d Be Cake,1,2008
427,Chuck Palahniuk,Snuff,1,2008
428,P.J. Haarsma,Betrayal on Orbis 2,1,2008
429,Nancy Werlin,Impossible,1,2008
430,Toni Morrison,A Mercy,1,2008
431,Kathleen Kent,The Heretic`s Daughter,1,2008
432,Daniel Grandbois,Unlucky Lucky Days,1,2008
433,Elizabeth C. Bunce,A Curse Dark as Gold,1,2008
434,Alexander McCall Smith,The Miracle at Speedy Motors,1,2008
435,Harlan Coben,Hold Tight,1,2008
436,Jennifer Weiner,Certain Girls,1,2008
437,Malcolm Gladwell,Outliers: The Story of Success,1,2008
438,Jeff Kinney,Rodrick Rules,1,2008
439,Curtis Sittenfeld,American Wife,1,2008
440,Tana French,The Likeness,1,2008
441,Joseph O`Neill,Netherland,1,2008
442,Michael Pollan,In Defense of Food: An Eater`s Manifesto,1,2002
443,Hillary Jordan,Mudbound,1,2008
444,Jim Butcher,Small Favor,1,2008
445,Emily Giffin,Love the One You`re With,1,2008
446,Lauren Groff,The Monsters of Templeton,1,2008
447,Wally Lamb,The Hour I First Believed,1,2007
448,Elizabeth Strout,Olive Kitteridge,1,2008
449,Brandon Mull,Grip of the Shadow Plague,1,2008
450,Marisa de los Santos,Belong to Me,1,2008
451,Mo Willems,The Pigeon Wants a Puppy!,1,2008
452,Vicki Myron,Dewey: The Small-Town Library Cat Who Touched the World,1,2008
453,David Benioff,City of Thieves,1,2008
454,Cory Doctorow,Little Brother,1,2008
455,David Sedaris,When You Are Engulfed in Flames,1,2008
456,John Green,Paper Towns,1,2008
457,Geraldine Brooks,People of the Book,1,2008
458,Jhumpa Lahiri,Unaccustomed Earth,1,0
459,David Wroblewski,The Story of Edgar Sawtelle,1,2008
460,Rick Riordan,The Battle of the Labyrinth,1,2008
461,Randy Pausch,The Last Lecture,1,2008
462,Audrey Niffenegger,The Time Traveler`s Wife,1,0
463,Katie Kacvinsky,First Comes Love,1,2012
464,Lisa Schroeder,The Day Before,1,2011
465,Jennifer Echols,Endless Summer,1,2010
466,K.A. Tucker,Ten Tiny Breaths,1,2012
467,Keary Taylor,What I Didn`t Say,1,2012
468,Ken Puddicombe,Racing With The Rain,1,2012
469,Corrine Jackson,If I Lie,1,2012
470,Tina Reber,Love Unscripted,1,2010
471,Melina Marchetta,On the Jellicoe Road,1,2006
472,Cherrie Lynn,Rock Me,1,2010
473,M.  Robinson,Forbid Me,1,2015
474,Kirsten Hubbard,Wanderlove,1,2011
475,Jenny B. Jones,There You`ll Find Me,1,2011
476,Miranda Kenneally,Stealing Parker,1,2012
477,Hannah Harrington,Saving June,1,2011
478,Kody Keplinger,Shut Out,1,2011
479,Trish Doller,Something like Normal,1,2012
480,Kirsty Moseley,The Boy Who Sneaks in My Bedroom Window,1,2011
481,Samantha Towle,The Mighty Storm,1,2012
482,Jenny Downham,You Against Me,1,2010
483,Amy Lichtenhan,Take This Regret,1,2011
484,Tiffanie DeBartolo,How to Kill a Rock Star,1,2005
485,Jeannette Walls,The Glass Castle,1,2005
486,Khaled Hosseini,A Thousand Splendid Suns,1,2007
487,Chelsea Fine,Sophie & Carter,1,2011
488,Cora Carmack,Losing It,1,2012
489,Katherine Allred,The Sweet Gum Tree,1,2005
490,Laura Kaye,Hearts in Darkness,1,2011
491,Anne Eliot,Almost,1,2012
492,Claire LaZebnik,Epic Fail,1,2011
493,Morgan Matson,Amy & Roger`s Epic Detour,1,2010
494,Emma Donoghue,Room,1,2010
495,S.C. Stephens,Effortless,1,2011
496,Fisher Amelie,Callum & Harper,1,2011
497,Cindy C. Bennett,Heart on a Chain,1,2010
498,Katie Klein,Cross My Heart,1,2011
499,Jojo Moyes,Me Before You,1,2012
500,Tabitha Suzuma,Forbidden,1,2010
501,J.A. Redmerski,The Edge of Never,1,2012
502,Huntley Fitzpatrick,My Life Next Door,1,2012
503,Jay Asher,Thirteen Reasons Why,1,2007
504,Jhonen Vásquez,Squee`s Wonderful Big Giant Book of Unspeakable Horrors,1,1998
505,Noelle Stevenson,Nimona,1,2015
506,Alan Moore,"Top 10, Vol. 1",1,2000
507,Paul Jenkins,Wolverine: Origin,1,2001
508,Allie Brosh,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",1,2013
509,Craig Thompson,"Good-Bye, Chunky Rice",1,1999
510,Grant Morrison,"The Invisibles, Volume 1: Say You Want a Revolution",1,1994
511,Brian Wood,"DMZ, Vol. 1: On the Ground",1,2005
512,Frank Miller,Ronin,1,1983
513,Wendy Pini,Fire and Flight,1,1981
514,Marjane Satrapi,Embroideries,1,2006
515,Sam Kieth,"The Maxx, Vol. 1",1,1995
516,David Petersen,Mouse Guard: Fall 1152,1,2007
517,Joann Sfar,The Rabbi`s Cat,1,2002
518,Brian K. Vaughan,"Ex Machina, Vol. 1: The First Hundred Days",1,2005
519,Chris Claremont,X-Men: Days of Future Past,1,1981
520,Jeph Loeb,Batman: Hush,1,2005
521,Scott Snyder,"American Vampire, Vol. 1",1,2010
522,Adrian Tomine,Shortcomings,1,2007
523,Kurt Busiek,"Astro City, Vol. 1: Life in the Big City",1,1996
524,Mark Millar,The Ultimates,1,2004
525,Juan Díaz Canales,Blacksad,1,2006
526,Masamune Shirow,Ghost in the Shell,1,1989
527,Brad Meltzer,Identity Crisis,1,2004
528,Brian Azzarello,"100 Bullets, Vol. 1: First Shot, Last Call",1,1999
529,Peter David,The Dark Tower: The Gunslinger Born,1,2007
530,Brian Selznick,The Invention of Hugo Cabret,1,2007
531,Jeff Lemire,Essex County,1,2009
532,Guy Delisle,Pyongyang: A Journey in North Korea,1,2003
533,Warren Ellis,"Planetary, Volume 1: All Over the World and Other Stories",1,2000
534,James O`Barr,The Crow,1,1989
535,David Small,Stitches,1,2009
536,Joss Whedon,Buffy the Vampire Slayer: The Long Way Home,1,2007
537,Will Eisner,A Contract With God and Other Tenement Stories,1,1978
538,Kazuo Koike,"Lone Wolf and Cub, Vol. 1: The Assassin`s Road",1,2000
539,David B.,Epileptic,1,2002
540,John Layman,"Chew, Vol. 1: Taster`s Choice",1,2009
541,Vera Brosgol,Anya`s Ghost,1,2011
542,Gerard Way,"The Umbrella Academy, Vol. 1: The Apocalypse Suite",1,2007
543,René Goscinny,Asterix the Gaul,1,1960
544,Hiromu Arakawa,"Fullmetal Alchemist, Vol. 1",1,2002
545,Joe Sacco,Palestine,1,1996
546,Fábio Moon,Daytripper,1,2011
547,Chris Ware,"Jimmy Corrigan, the Smartest Kid on Earth",1,2000
548,Scott McCloud,Understanding Comics: The Invisible Art,1,1993
549,Mark Waid,Kingdom Come,1,1996
550,Katsuhiro Otomo,"Akira, Vol. 1",1,1984
551,David Mazzucchelli,Asterios Polyp,1,2009
